id,e2_1,e2_2,e2_3,e2_4,e2_5,e2_6,e2_7,e2_8,SMILES,pkbhx
id048,-1.78,0.06,3.01,0.27,-0.84,-1.38,-1.01,7.59,C1CCN(CC1)c1cc[n:1]cc1,2.68
id049,-1.05,-0.04,2.09,0.94,-0.4,-1.26,-0.71,3.66,CCOP(=[O:1])(OCC)OCC,2.68
id050,-0.51,0.2,1.34,1.15,-0.31,-0.96,-0.52,1.73,CCCCOP(=[O:1])(OCCCC)OCCCC,2.66
id051,-0.83,0.1,1.9,1.12,-0.44,-1.23,-0.67,2.97,CCOP(C)=[O:1],2.66
id052,-1.12,0.18,2.34,1.03,-0.64,-1.33,-0.77,4.44,CCCCS(=[O:1])CCCC,2.65
id053,-1.5,0.16,2.72,0.33,-0.74,-1.25,-0.91,6.71,C[N:1]=C(N(C)C)c1ccccc1,2.62
id054,-1.22,0.15,2.45,0.87,-0.61,-1.23,-0.87,4.63,CC(=[O:1])N1CCCC1,2.61
id055,-1.22,0.16,2.41,0.84,-0.61,-1.24,-0.86,4.64,CN1CCCCC1=[O:1],2.6
id056,-1.56,0.17,2.85,0.34,-0.78,-1.35,-0.97,7.31,CC(C)[N:1]=CN(C)C,2.6
id057,-1.54,0.16,2.76,0.31,-0.75,-1.28,-0.93,7.09,CCC[N:1]=CN(C)C,2.59
id058,-1.5,0.07,2.89,0.29,-0.61,-1.36,-0.96,7.62,CN(C)C=[N:1]C1CCCCC1,2.59
id059,-1.6,0.08,2.63,0.11,-0.7,-1.06,-0.85,6.55,CC1=[N:1]CCC1,2.59
id060,-1.62,0.04,2.53,-0.07,-0.7,-0.97,-0.79,6.73,C1CC[NH:1]C1,2.59
id061,-1.63,0.06,2.56,-0.16,-0.72,-0.93,-0.8,7.06,C1C[NH:1]C1,2.59
id062,-1.7,0.05,2.84,0.23,-0.79,-1.29,-0.95,7.26,CN(N)c1cc[n:1]cc1,2.58
id063,-1.71,0.06,2.87,0.23,-0.79,-1.31,-0.97,7.36,Nc1cc[n:1]cc1,2.56
id064,-0.95,0.28,2.11,1.08,-0.64,-1.15,-0.72,3.52,CS(C)=[O:1],2.54
